TIME(2023/11/07 09:45:11.918),FPOGD,FPOGID,LPMM,RPMM,AOI
2.85373,0.48914,11,4.43623,4.08133,
2.86038,0.49579,11,4.4779,4.02503,
2.86652,0.50192,11,4.43099,4.02107,
2.87415,0.50955,11,4.43363,4.01073,
2.88022,0.51562,11,4.40766,3.98962,
2.8866,0.522,11,4.4197,4.00853,
2.89346,0.52887,11,4.4318,3.98952,
2.90112,0.53653,11,4.40417,3.98969,
2.90683,0.53653,11,4.4106,3.98086,
2.91385,0.53653,11,4.42308,3.95123,
2.92044,0.53653,11,4.39654,3.99952,
2.92734,0.02051,12,4.43574,3.99119,
2.93396,0.02713,12,4.40855,3.94852,
2.94031,0.03348,12,4.46581,3.99959,
2.94711,0.04028,12,4.45063,3.9821,
2.95386,0.04703,12,4.42342,4.01721,
2.96054,0.05371,12,4.4043,3.93059,
2.96777,0.06094,12,4.37615,3.92432,
2.97421,0.06738,12,4.38025,3.96107,
2.98056,0.07373,12,4.42348,3.99047,
2.98737,0.08054,12,4.43319,3.97944,
2.99432,0.08749,12,4.44399,3.98855,
3.00116,0.09433,12,4.45205,3.96127,
3.00806,0.10123,12,4.44985,3.96428,
3.0141,0.10727,12,4.43095,3.90011,
3.02127,0.11444,12,4.41934,3.93678,
3.0275,0.12067,12,4.41075,3.95198,
3.03452,0.12769,12,4.419,3.9737,
3.04123,0.1344,12,4.42185,3.93275,
3.04758,0.14075,12,4.42946,3.937,
3.05432,0.14749,12,4.40075,3.94078,
3.06097,0.15414,12,4.38923,3.92519,
3.06866,0.16183,12,4.43736,3.90384,
3.07477,0.16794,12,4.41699,3.92449,
3.08102,0.17419,12,4.37869,3.90247,
3.08786,0.18103,12,4.36132,3.88852,
3.095,0.18817,12,4.36849,3.91761,
3.10153,0.1947,12,4.35168,3.92791,
3.1091,0.20227,12,4.35488,3.94889,
3.11447,0.20764,12,4.36241,3.93175,
3.12198,0.21515,12,4.39466,3.93869,
3.12784,0.22101,12,4.39748,3.94247,
3.13492,0.22809,12,4.39128,3.93952,
3.1416,0.23477,12,4.35609,3.92658,
3.1481,0.24127,12,4.3936,3.92102,
3.15491,0.24808,12,4.42386,3.92056,
3.16141,0.25458,12,4.38567,3.94378,
3.16876,0.26193,12,4.39848,3.92251,
3.17532,0.26849,12,4.41411,3.92922,
3.18158,0.27475,12,4.36076,3.90331,
3.18845,0.28162,12,4.35814,3.92229,
3.19537,0.28854,12,4.37185,3.90913,
3.20203,0.2952,12,4.35676,3.86956,
3.20874,0.30191,12,4.36424,3.87699,
3.2149,0.30807,12,4.31868,3.89079,
3.22198,0.31516,12,4.33124,3.87068,
3.22836,0.32153,12,4.32888,3.84357,
3.23615,0.32932,12,4.34375,3.84655,
3.24231,0.33548,12,4.26304,3.85955,
3.24872,0.34189,12,4.27362,3.81991,
3.25571,0.34888,12,4.25168,3.76543,
3.26233,0.3555,12,4.25801,3.76666,
3.26843,0.3616,12,4.24881,3.75049,
3.27524,0.36841,12,4.20629,3.73287,
3.2825,0.37567,12,4.16884,3.69851,
3.28918,0.38235,12,4.10708,3.62985,
3.29578,0.38895,12,4.09594,3.59266,
3.30234,0.39551,12,4.05669,3.56058,
3.30927,0.40244,12,4.00078,3.59103,
3.31577,0.40894,12,3.98547,3.58167,
3.32263,0.4158,12,3.93856,3.55526,
3.32935,0.42252,12,3.929,3.52644,
3.3356,0.42877,12,3.91981,3.46429,
3.34229,0.43546,12,3.83513,3.46908,
3.34891,0.44208,12,3.81761,3.45124,
3.35587,0.44904,12,3.79433,3.39026,
3.36273,0.4559,12,3.76615,3.337,
3.36951,0.46268,12,3.72251,3.39837,
3.37604,0.46921,12,3.70888,3.36487,
3.38235,0.47552,12,3.67042,3.39009,
3.38959,0.48276,12,3.61255,3.34869,
3.39612,0.48929,12,3.56608,3.33647,
3.40302,0.49619,12,3.6442,3.25875,
3.4093,0.50247,12,3.64433,3.28083,
3.41653,0.5097,12,3.6168,3.30834,
3.42279,0.51596,12,3.58315,3.40769,
3.4296,0.52277,12,3.54659,3.38087,
3.43634,0.52277,12,3.47299,3.34804,
3.44275,0.52277,12,3.41386,3.36564,
3.4494,0.52277,12,3.43384,3.34204,
3.45663,0.02029,13,3.44097,3.29677,
3.46313,0.02679,13,3.40505,3.34287,
3.46939,0.03305,13,3.3902,3.35445,
3.4765,0.04016,13,3.48772,3.25598,
3.48325,0.04691,13,3.43788,3.15299,
3.48969,0.05334,13,3.46087,3.14131,
3.49683,0.06049,13,3.40133,3.11771,
3.50342,0.06708,13,3.41373,3.18548,
3.51013,0.07379,13,3.41614,3.21562,
3.51672,0.08038,13,3.36686,3.18784,
3.52356,0.08722,13,3.39844,3.23172,
3.53067,0.09433,13,3.43462,3.24956,
3.53629,0.09995,13,3.32657,3.23566,
3.54352,0.10718,13,3.39921,3.11019,
3.54977,0.11343,13,3.4117,3.08111,
3.55652,0.12018,13,3.38301,3.18228,
3.56387,0.12753,13,3.36941,3.08746,
3.57144,0.1351,13,3.34663,3.0333,
3.57803,0.14169,13,3.38454,3.02945,
3.58405,0.14771,13,3.4178,3.0743,
3.59015,0.15381,13,3.38862,3.00335,
3.59708,0.16074,13,3.42068,2.98555,
3.60349,0.16714,13,3.55548,3.07067,
3.61057,0.17422,13,3.55125,3.30355,
3.61737,0.18103,13,3.53595,3.36586,
3.62387,0.18753,13,3.54849,3.25345,
3.63098,0.19464,13,3.48745,3.22282,
3.63748,0.20114,13,3.52789,3.19964,
3.64398,0.20764,13,3.5511,3.12857,
3.65039,0.21405,13,3.52981,3.13687,
3.65741,0.22107,13,3.53396,3.14761,
3.66388,0.22107,13,3.59205,3.1747,
3.67099,0.22107,13,3.6849,3.13336,
3.67746,0.22107,13,3.56767,2.96489,
3.6842,0.02032,14,3.4258,2.9296,
3.69086,0.02698,14,3.47194,2.91285,
3.69775,0.03387,14,3.52042,2.92419,
3.70419,0.04031,14,3.47046,2.93252,
3.71063,0.04675,14,3.61791,2.93149,
3.71759,0.05371,14,3.61741,2.92536,
3.72433,0.06046,14,3.55219,2.92814,
3.73102,0.06714,14,3.58395,2.92678,
3.7377,0.07382,14,3.57396,2.91773,
3.7446,0.08072,14,3.51972,2.94821,
3.75131,0.08743,14,3.5256,2.93581,
3.75809,0.09421,14,3.66114,2.93142,
3.76443,0.10056,14,3.67297,2.92445,
3.77127,0.10739,14,3.61139,2.8851,
3.77765,0.11377,14,3.58155,2.95101,
3.78439,0.12051,14,3.52347,3.37172,
3.79147,0.12759,14,3.6197,3.15145,
3.7984,0.13452,14,3.64982,3.33807,
3.80496,0.14108,14,3.73773,2.99825,
3.81137,0.14749,14,3.48218,2.91417,
3.81766,0.14749,14,3.89416,2.92485,
3.82465,0.14749,14,3.66308,2.90601,
3.83142,0.14749,14,3.77631,2.902,
3.83847,0.14749,14,3.72058,2.92596,
3.84509,0.14749,14,3.8665,2.95572,
3.85184,0.14749,14,3.65502,2.91881,
3.85849,0.02002,15,3.79317,2.96909,
3.86487,0.0264,15,3.70725,2.96969,
3.87173,0.03326,15,3.66768,3.00243,
3.87811,0.03964,15,3.67854,2.93899,
3.8848,0.04633,15,3.73765,2.96348,
3.89175,0.05328,15,3.60676,2.94751,
3.89874,0.06027,15,3.70148,2.96465,
3.90543,0.06696,15,3.71659,2.95309,
3.91199,0.07352,15,3.66573,2.99428,
3.91855,0.08008,15,3.79768,3.02334,
3.92548,0.08701,15,3.78409,2.98027,
3.93179,0.09332,15,3.72852,2.96762,
3.93884,0.10037,15,3.84974,2.92921,
3.94534,0.10687,15,3.91167,2.94497,
3.95227,0.1138,15,3.70069,2.94281,
3.95853,0.12006,15,3.87754,2.98013,
3.96564,0.12717,15,3.85127,2.97648,
3.97208,0.13361,15,3.86337,2.966,
3.9791,0.14062,15,3.85052,2.9592,
3.98526,0.14679,15,3.90243,2.96695,
3.99219,0.14679,15,3.85278,3.02414,
3.99872,0.14679,15,3.81581,2.96636,
